#cP2012 12 25  0  0  0.00000000      96 ORBIT IGb08 HLM  IGS
## 1720 172800.00000000   900.00000000 56286 0.0000000000000
+   24   R01R02R03R04R05R06R07R08R09R10R11R12R13R14R15R16R17
+        R18R19R20R21R22R23R24  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         4  4  3  3  3  3  3  4  3  3  4  3  3  3  3  3  3
++         3  3  4  4  3  3  3  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c R  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  1.2500000  1.025000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* FINAL ORBIT COMBINATION FROM WEIGHTED AVERAGE OF:        
/* brx cod cof emx esx gfz grg iac mcc                      
/*                                                          
/* PCV:IGS08_1722 OL/AL:FES2004  NONE     Y  ORB:CMB CLK:CMB
*  2012 12 25  0  0  0.00000000
PR19 -13351.368442   5695.487743  20970.154866    -43.575453 10 11  8           
PR20   5169.490661  12522.342011  21603.776258    -19.057328 13 11 13           
PR21  19697.652385  12130.536600  10853.060849      2.944786 12 13 12           
PR22  24114.222838   5006.681794  -6356.573696     68.936569  8 12 11           
PR23  14464.684522  -5212.214557 -20365.733434   -466.954441 11 11 10           
PR24  -3143.220210 -12098.598658 -22259.085723    -84.980319 11 10  9           
*  2012 12 25  0 45  0.00000000
PR01  18498.154005 -17486.742168  -1831.594091   -174.962844  9 10 12           
PR02   7895.841867 -18741.265561  15410.111148   -352.145072 10  8 11           
PR03  -6128.560705  -9293.884635  22984.674682   -121.628794  9  8  9           
PR04 -17452.776392   5809.670458  17682.470594     27.167682 10 13 10           
PR05 -18506.621046  17435.154658   1962.706259   -171.861540  7  9  8           
PR06  -8464.357937  18851.863319 -14989.294778     23.045649  7  6 11           
PR07   6091.350959   9289.144009 -22932.771889    -46.821225  9  9 10           
PR08   8853.571753 -18893.432790  14735.773770    -76.735321 12  9 13           
PR09   2471.026378  24136.321454  -8042.705944    -20.027104 10 10 11           
PR10  10038.009432  21695.338784   8775.993299    -53.477402  9  9 10           
PR11  12035.416425   6843.653182  21448.393131    -52.759367 10 16 11           
PR12   6755.015595 -12773.474977  21043.175924    -96.780191  9  8  7           
PR13  -2775.209457 -23995.507179   8201.624252   -373.621385 11  7 10           
PR14 -10107.297226 -21733.360468  -8851.957037     11.926618 10  9 12           
PR15 -11616.849690  -4757.919590 -22171.987522      2.393571 10 13  8           
PR16  -6686.114715  12894.558454 -20970.001027    -10.634701 10 10 11           
PR17 -18283.679327 -11486.998588 -13532.105637     52.414892 11  8  8           
PR18 -24821.002372  -4964.710931   3570.542228    -45.987706  8 10  9           
PR19 -15753.895562   5021.710276  19417.421869    -43.576497 10 11  8           
PR20   2584.962041  11657.290620  22536.126830    -19.060347 13 12 12           
PR21  18299.769266  11553.471972  13576.961605      2.945830 13 13 12           
PR22  24723.409418   5037.072220  -3199.494852     68.937500  7 12 11           
PR23  16792.599181  -4598.528075 -18655.182820   -466.958504 11 11 10           
PR24   -489.871051 -11263.772537 -22905.348761    -84.981251 11 10  8           
*  2012 12 25  1  0  0.00000000
PR01  18115.733894 -17267.104775  -4998.891542   -174.962844 10 11 12           
PR02   9006.583510 -20090.830367  12897.383763   -352.146709 10  7 10           
PR03  -4247.780343 -11363.370732  22472.138453   -121.628794  9  7  8           
PR04 -15832.527822   4179.930337  19568.534344     27.167682 11 14 10           
PR05 -18114.347260  17199.540137   5129.098283   -171.861540  7 10  8           
PR06  -9530.133346  20163.944894 -12420.865797     23.045649  7  4 11           
PR07   4203.301623  11364.628725 -22417.208756    -46.822043  8  9 10           
PR08   9882.423442 -20188.326366  12127.473715    -76.735321 12  9 13           
PR09   2294.627377  22968.645855 -10975.284722    -20.026285 10 10 11           
PR10  10497.101955  22492.266815   5687.790615    -53.477402  9  9 10           
PR11  12885.449271   9256.936309  20006.393467    -52.758548 11 16 12           
PR12   7452.314664 -10196.468628  22169.017082    -96.779372  9  8  6           
PR13  -2588.230297 -22800.774636  11139.959316   -373.622204 10  7  9           
PR14 -10576.968527 -22530.568384  -5777.547632     11.924981 10  7 12           
PR15 -12484.251757  -7286.717830 -20974.141819      2.393571 10 13  9           
PR16  -7389.425612  10331.907478 -22130.226570    -10.634701 10 10 10           
PR17 -16531.278857 -10953.320852 -16002.539280     52.415710 11  8  8           
PR18 -25092.780138  -4857.323027    370.573823    -45.987706  8  9  9           
PR19 -17991.200212   4576.776151  17487.371996    -43.577316  9 11  9           
PR20   -141.117256  10964.633457  23030.617395    -19.061984 13 12 12           
PR21  16552.648708  11009.142661  16038.358515      2.946649 13 13 12           
PR22  24949.102919   4935.410670     20.289098     68.937500  6 11 11           
PR23  18932.491981  -4208.936936 -16582.713289   -466.960960 11 11 11           
PR24   2268.405426 -10614.607692 -23107.925110    -84.981251 10 10  8           
*  2012 12 25  1 15  0.00000000
PR01  17509.692691 -16721.413241  -8069.219369   -174.961913 10 11 12           
PR02   9815.362316 -21262.613506  10134.378520   -352.149729 11  6 10           
PR03  -2579.060521 -13494.828512  21524.699051   -121.626931  9  7  7           
PR04 -14205.193075   2273.519114  21074.895608     27.169531 11 14  9           
PR05 -17499.780302  16636.870353   8195.751276   -171.861540  7 10  8           
PR06 -10291.633660  21291.596210  -9611.727853     23.047511  7  3 11           
PR07   2528.205287  13501.536810 -21464.991724    -46.824019  8  8 10           
PR08  10604.525998 -21293.960310   9284.486935    -76.734389 12  8 13           
